Домен	Артикул	Тип товара	Наименование	Габариты	Цвет	Материал	Особенности	Цена (₽)	ID
Мебель		Бра			бежевый	ткань	классическое, настенное	1700	s5_145
Мебель		Гладильная доска			синяя			5700	s5_146
Мебель		Кровать		220 см	серый	велюр	двуспальная, круглая	39800	s5_147
Мебель		Кресло			шоколад		для гостиной, подвесной	14700	s5_148
Мебель		Туалетный столик			белый с золотом		для макияжа, круглым, led	16400	s5_149
Мебель		Корзина		50 см	натуральный	джут	высокий	2400	s5_150
Мебель		Шкаф			голубой			14400	s5_151
Мебель		Кровать-чердак		80х170	белая с розовым		балдахином	21400	s5_152
Мебель		Кровать-чердак		90х200	графит		для подростка, с лестницей-комодом	24700	s5_153
Мебель		Корзина			белый		на колёсиках	3900	s5_154
Мебель		Кушетка		90х200	светло-серый	велюр		13400	s5_155
Мебель		Кушетка		180 см	бирюзовый	велюр	с подушками	19450	s5_156
Мебель		Стеллаж		100х30	чёрный с дубом	металл, дерево	лофт	8490	s5_157
Мебель		Стол		150х80			прямоугольный	7400	s5_158
Мебель		Стул			натуральный	дерево	4 шт	4400	s5_159
Мебель		Стол		80 см	венге		для лоджии, складной	3100	s5_160
Мебель		Пуф			изумрудный	велюр	для подростка	3400	s5_161
Мебель		Прикроватный столик		60х40	светлый дуб			3400	s5_162
Мебель		Стеллаж			шоколад		для кошки	5460	s5_163
Мебель		Плед		150х200	горчица			4400	s5_164
Мебель		Прихожая		80 см	венге		с зеркалом	6400	s5_165
Мебель		Корзина				ткань	для детской, складной, с принтом	1100	s5_166
Мебель		Кровать		80х200	серый			7400	s5_167
Мебель		Стеллаж			белый		детскую	5400	s5_168
Мебель		Кровать		80х160	синяя			13800	s5_169
Мебель		Домик-палатка			розовый	ткань	детскую	3400	s5_170
Мебель		Шкаф			розовый с белым		2-дверный, детский, с принтом	13400	s5_171
Мебель		Торшер			графитовый	ткань		5400	s5_172
Мебель		Свеча						1450	s5_173
Мебель		Стул			натуральная сосна	сосна	6 шт	9740	s5_174
Мебель		Шкаф		50 см	белый матовый		для лоджии, высокий, матовый	8700	s5_175
Мебель		Кровать-ракета		80х170	серебристый с синим		космический	18950	s5_176
Мебель		Комод			белый		с принтом облачков	8940	s5_177
Мебель		Пуф		90 см	белый	плюш	детскую, модульный	4200	s5_178
Мебель		Туалетный столик			розовый		для макияжа, круглым	15400	s5_179
Мебель		Шкаф-купе		160 см	белый с цветным			19720	s5_180
Мебель		Прикроватная тумба			дуб сонома		двухъярусной, на колёсиках	3420	s5_181
Мебель		Прикроватный столик		40х35	дуб сонома	металл		2920	s5_182
Мебель		Кроватка			бук		для новорождённого	9400	s5_183
Мебель		Стол		120х30	чёрный матовый		для прихожей, с зеркалом, матовый	7440	s5_184
Мебель		Раскладушка					для дачи, ортопедической	5400	s5_185
Мебель		Кровать-домик		90х200	белый		детскую	14900	s5_186
Мебель		Столик		70 см			круглый	2900	s5_187
Мебель		Подушка		50х50	серый	велюр		15800	s5_188
Мебель		Подставка			медь			3470	s5_189
Мебель		Кровать	Аделина	160х200	тёмно-серая	экокожа	двуспальная, подъёмным механизмом	33500	s5_190
Мебель		Беговая дорожка			чёрный		складной	38900	s5_191
Мебель		Пуф		40 см	изумрудный	велюр	круглый	2400	s5_192
Мебель		Кресло			бежевый		подвесное	19400	s5_193
Мебель		Кровать		90х200			складной	6900	s5_194
Мебель		Комод			беленый дуб			11410	s5_195
Мебель		Кровать		80х170	красно-чёрный		детский	15600	s5_196
Мебель		Шезлонг			коричневый	ротанг	складной	5800	s5_197
Мебель		Кресло			серый	ротанг		11900	s5_198
Мебель		Кресло			коричневый	ротанг	подвесной	31400	s5_199
Мебель		Кровать		160х200	белый		раздвижной, трансформер	26460	s5_200
Мебель		Пуф					3 шт, модульные	6700	s5_201
Мебель		Стеллаж			белый с яркими			6400	s5_202
Мебель		Диван		220 см	коричневая	экокожа	электрорегулировкой	68900	s5_203
Мебель		Кроватка			белый		для новорождённого, с маятником	7700	s5_204
Мебель		Стол		120х70	белый		прямоугольный	5900	s5_205
Мебель		Корзина		60 см	бежевая		для белья, с крышкой, высокий	3400	s5_206
Мебель		Кровать-чердак		80х170	белая с розовым		балдахином	19400	s5_207
Мебель		Кресло-кровать	Аккорд		серый	велюр	раскладное	14500	s5_208
Мебель		Ящик			белый	дерево		6400	s5_209
Мебель		Шкаф			кремовый с патиной		резными	26780	s5_210
Мебель		Балдахин		160х200	белый прованс		двуспальная, балдахином	31500	s5_211
Мебель		Туалетный столик			белый		для макияжа, led	14400	s5_212
Мебель		Тумба		45х40х75	светлый дуб			5400	s5_213
Мебель		Кухонный шкаф			белый с дубом		высокий	11470	s5_214
Мебель		Корзина			тёмно-серый		складной	1850	s5_215
Мебель		Прикроватная тумба			дуб сонома			3100	s5_216
Мебель		Корзина			бежевая		для хранения, с крышкой	1750	s5_217
Мебель		Кровать		90х200	чёрная		для подростка, USB-портами, с подсветкой	17800	s5_218
Мебель		Кровать		160х200	серая	рогожка, ткань	с ящиками, двуспальная	26700	s5_219
Мебель		Кушетка			тёмно-серая	рогожка	двухъярусная, раскладным	33400	s5_220
Мебель		Стеллаж		4х4			для детской	7800	s5_221
Мебель		Подставка			чёрная			2700	s5_222
Мебель		Кровать		120х200	графит		с ящиками, двуспальная, подростковый	14200	s5_223
Мебель		Кроватка		80х160	белый			11200	s5_224
Мебель		Кушетка		180 см	изумрудный	велюр	с подушками	19450	s5_225
Мебель		Стол		160 см	дуб сонома		подростков	8900	s5_226
Мебель		Кронштейн			белый		подвесных	2200	s5_227
Мебель		Комод			тёмное дерево с патиной	дерево	для прихожей	5790	s5_228
Мебель		Бра			дерево	ткань		2200	s5_229
Мебель		Двухъярусная кровать			ольха		для двоих детей	19800	s5_230
Мебель		Подушка		40х40	бежевая		с принтом кота смешного 40 на 40	850	s5_231
Мебель		Кресло	Кокон		горчичный			14200	s5_232
Мебель		Кресло			пыльно-розовый	велюр, дерево		13960	s5_233
Мебель		Кухонный уголок			бежевый		угловым	26400	s5_234
Мебель		Корзина				джут	для хранения	3800	s5_235
Мебель		Пуф		60 см	графитовый			3700	s5_236
Мебель		Кресло			розовая	ткань	детское, компьютерный	5400	s5_237
Мебель		Кресло				металл	для гостиной, подвесное	19400	s5_238
Мебель		Банкетка		90 см	бежевая		складной	4400	s5_239
Мебель		Барный стул					2 шт, барные	5200	s5_240
Мебель		Домик-палатка			белый			5700	s5_241
Мебель		Стол		70х40	белый со складными ножками		складными	3160	s5_242
Мебель		Кресло			орех	дерево	классический	9800	s5_243
Мебель		Кухонный уголок	Кантри		бежевый с белым		цветочная обивка	25400	s5_244
Мебель		Журнальный столик			чёрный с золотыми ножками		2 шт	6420	s5_245
Мебель		Гамак			разноцветная полоска	ткань	подвесной	2900	s5_246
Мебель		Письменный стол		100х100	белый		для маленькой комнаты, угловой	6700	s5_247
Мебель		Туалетный столик			белый матовый		матовый	18700	s5_248
Мебель		Гладильная доска			бежевая			4400	s5_249
Мебель		Стол		110 см	натуральный		круглый	13710	s5_250
Мебель		Стол		120х40	дуб сонома		барная	5400	s5_251
Мебель		Кровать		80х170	красная		детский	16470	s5_252
Мебель		Кровать		80х170	синяя гоночная		с подсветкой	17400	s5_253
Мебель		Симпатичный			серый	велюр	круглым	19620	s5_254
Мебель		Гамак			полосатая бежевая с белым	ткань, металл	с навесом	9400	s5_255
Мебель		Шезлонг			синий в полоску		складное	4200	s5_256
Мебель		Гамак				ткань	подвесной	7400	s5_257
Мебель		Стол		170 см	беленый дуб		раздвижной, круглый	14790	s5_258
Мебель		Туалетный столик			белый		с зеркалом, угловой	12400	s5_259
Мебель		Зеркало			розовое золото		настенное, с короной	2860	s5_260
Мебель		Кровать-чердак			розовый	ткань	балдахин	1950	s5_261
Мебель		Стол		90х30	белый		для прихожей	3800	s5_262
Мебель		Тумба			белый дуб бежевый			6900	s5_263
Мебель		Подставка			белый			3470	s5_264
Мебель		Столик			чёрный с золотом		на колёсиках	7890	s5_265
Мебель		Стул			белый металл	металл	складной	5400	s5_266
Мебель		Кресло			коричневая	экокожа	электроприводом, подогревом, реклайнер	48740	s5_267
Мебель		Торшер			чёрный			6800	s5_268
Мебель		Гладильная доска		130х40	белая с серым			5700	s5_269
Мебель		Кроватка			белая		для новорождённого	7200	s5_270
Мебель		Стеллаж			натуральная сосна	сосна, керамика	для книг, угловой, низкий, японский	7360	s5_271
Мебель		Пуф		100 см	молочный	плюш	модульный	5400	s5_272
Мебель		Подушка		50 см	бежевый	лён		1450	s5_273
Мебель		Стеллаж			белый		детскую	7200	s5_274
Мебель		Пуф		50 см	кремовый		круглый	2710	s5_275
Мебель		Стол		120 см	чёрный с фиолетовым		с подсветкой	9720	s5_276
Мебель		Тумба		120 см	белый		глянец	6200	s5_277
Мебель		Зеркало			золото			5900	s5_278
Мебель		Банкетка		140 см	пыльно-розовый	велюр	для спальни	5470	s5_279
Мебель		Гладильная доска			бежевая			4400	s5_280
Мебель		Шкаф		80 см	дуб сонома			9700	s5_281
Мебель		Изголовье		160х200	чёрный матовый	металл	матовый, лофт	18910	s5_282
Мебель		Шкаф		70 см	белый		с подсветкой	7800	s5_283
Мебель		Велотренажёр			чёрный			15700	s5_284
Мебель		Диван		200 см	изумрудный	велюр	с подушками, низкий	24680	s5_285
Мебель		Журнальный столик			бук		складными	2420	s5_286
Мебель		Кровать		140х200	венге			34900	s5_287
Мебель		Кресло					подвесное	13500	s5_288
Мебель		Шезлонг			белый с синим		на колёсиках	8400	s5_289
Мебель		Кровать-чердак		90х200	ольха светлая		с лестницей-комодом, угловой	24800	s5_290
Мебель		Органайзер			белый с розовым		настольный	3200	s5_291
Мебель		Велотренажёр			белый			17400	s5_292
Мебель		Подушка			шоколад		прямоугольная	3910	s5_293
Мебель		Стул				сосна	раскладная	19800	s5_294
Мебель		Прихожая			дуб сонома			24890	s5_295
Мебель		Тумба			белый матовый		USB-разъёмами, подвесная, матовый	2870	s5_296
Мебель		Шезлонг			коричневый	ротанг		9700	s5_297
Мебель		Вешалка			чёрный матовый		матовый	3720	s5_298
Мебель		Кресло-мешок			ярко-зелёный		для детской	2150	s5_299
Мебель		Кровать		200 см	серебристый		круглым	39820	s5_300
Мебель		Кровать						6400	s5_301
Мебель		Кровать			молочный		для кошки	1810	s5_302
Мебель		Кресло			серый	велюр		13800	s5_303
Мебель		Полка				дерево	настенная	1640	s5_304
Мебель		Стол		90х90			складной	5400	s5_305
Мебель		Плед		180х220	пыльно-розовый			4900	s5_306
Мебель		Корзина					для хранения	2460	s5_307
Мебель		Диван	Мини	180 см	бежевая	рогожка	еврокнижка, компактный	19800	s5_308
Мебель		Эллиптический тренажёр			белый матовый		складной, матовый	21400	s5_309
Мебель		Гарнитур			белый с золотом		классический	38940	s5_310
Мебель		Тумба		180 см	дуб сонома		с ящиками	9700	s5_311
Мебель		Шкаф	Принцесса		розово-белый		с принтом с волшебным замком, волшебный замок	14920	s5_312
Мебель		Кровать		180х200	белый		с ортопедическим основанием, двуспальная	28900	s5_313
Мебель		Кухонный уголок			горчичный	велюр	круглой	23800	s5_314
Мебель		Бра				дерево		2700	s5_315
Мебель		Велотренажёр			белый матовый		матовый, магнитный	17400	s5_316
Мебель		Стол		140 см	белый		для подростка, с подсветкой, led	9700	s5_317
Мебель		Корзина			натуральный бежевый		для белья	4400	s5_318
Мебель		Стойка			орех	дерево	настольный	2150	s5_319
Мебель		Пуф	Облако	80х80	белый	плюш	для детской, модульный	5700	s5_320
Мебель		Изголовье		90х200	серый	велюр	двуспальная	13700	s5_321
Мебель		Кровать			серый		на колёсиках, прозрачной	1900	s5_322
Мебель		Кронштейн			чёрный		подвесных, настенный	1450	s5_323
Мебель		Кровать		70х190	белая			9800	s5_324
Мебель		Кресло			коричневый			9800	s5_325
Мебель		Стеллаж			белый с серым	ткань	для хранения	6800	s5_326
Мебель		Горка		130 см	розовый с белым		складной	9890	s5_327
Мебель		Столик			бук		настенный	4900	s5_328
Мебель		Стол		90х90	белый		угловой	5800	s5_329
Мебель		Качели					подвесные	6700	s5_330
Мебель		Стенка			берёза			9700	s5_331
Мебель		Пуф			бежевый	лён	квадратный	2900	s5_332
Мебель		Корзина					3 шт	2900	s5_333
Мебель		Гладильная доска			белый		настенная, компактная, складной	4200	s5_334
Мебель		Кровать		80х160	синяя с жёлтым			14200	s5_335
Мебель		Кресло			рогожка	рогожка		13900	s5_336
Мебель		Гладильная доска			серая обивка		складной	3700	s5_337
Мебель		Комод			белый с золотом		резными	9880	s5_338
Мебель		Ящик		90х200	графит	велюр	с ящиками	14800	s5_339
Мебель		Балдахин			зелёный с белым		с принтом листьев и обезьян	2960	s5_340
Мебель		Журнальный столик		60 см		металл, стекло	круглый	4900	s5_341
Мебель		Диван-кровать		160 см	бежевая	ткань	прямой	26800	s5_342
Мебель		Корзина			ротанг бежевый	ротанг	для белья, на ножках	4100	s5_343
Мебель		Стол		180х90	медовый			19580	s5_344
Мебель		Кровать		140х200	пыльно-розовая	велюр	для белья	22400	s5_345
Мебель		Кухонный уголок			серый велюр	велюр	высокой, круглым	27400	s5_346
Мебель		Пуф		50 см	молочный	плюш	модульный	2400	s5_347
Мебель		Столик			тёмное дерево		низкий, японский, подогревом	19870	s5_348
Мебель		Стул					2 штуки, складные	1850	s5_349
Мебель		Туалетный столик			белый		с пуфом, led-подсветка	13900	s5_350
Мебель		Лампа			чёрный		USB, с диммером, настольный	1550	s5_351
Мебель		Кроватка			белый		для новорождённого, трансформер	11800	s5_352
Мебель		Кресло			терракотовый	велюр	с подушкой, на ножках	14620	s5_353
Мебель		Стеллаж			серый		для кошки	5460	s5_354
Мебель		Столик			орех	дерево	складной	3200	s5_355
Мебель		Спальный мешок			синий			4700	s5_356
Мебель		Кровать			белый матовый		с подсветкой, двуспальная, матовый, подсветка по периметру	31460	s5_357
Мебель		Подушка			красный	велюр	2 шт, с принтом цветов	1740	s5_358
Мебель		Стеллаж						5800	s5_359
Мебель		Туалетный столик			белый		с зеркалом	18900	s5_360
Мебель		Корзина			бежевый ротанг	ткань, ротанг	для белья	4200	s5_361
Мебель		Туалетный столик			слоновая кость			15910	s5_362
Мебель		Диван	Малибу		серая	рогожка	еврокнижка, угловой	57400	s5_363
Мебель		Гирлянда		2х3 м	белый			1750	s5_364
Мебель		Кровать	Орхидея	160х200	белый		для белья, с ящиками, двуспальная	22400	s5_365
Мебель		Стол		90х60	белый			3400	s5_366
Мебель		Кухонный уголок			серый	велюр		33800	s5_367
Мебель		Стул			изумрудный	велюр	6 шт, с высокой спинкой	19860	s5_368
Мебель		Корзина			натуральный		для хранения, с крышкой	2900	s5_369
Мебель		Прикроватный столик			белый			3700	s5_370
Мебель		Подставка			чёрный	металл		2100	s5_371
Мебель		Журнальный столик		70 см	серый мрамор			7240	s5_372
Мебель		Шкаф			светлый дуб с белым		2-дверный	15400	s5_373
Мебель		Хлебница			светлый бамбук	бамбук, дерево		2700	s5_374
Мебель		Кушетка		180 см	горчичный	велюр	с подушками	19450	s5_375
Мебель		Кроватка			натуральная берёза		для новорождённого, с маятником, классический	6400	s5_376
Мебель		Кровать	Орхидея	160х200	венге		для белья, с ящиками, двуспальная	22400	s5_377
Мебель		Кровать		80х170				15400	s5_378
Мебель		Письменный стол	Эвелина	110 см	ясень шимо			7350	s5_379
Мебель		Изголовье		220 см	тёмно-синий	велюр		14640	s5_380
Мебель		Ящик			горчичный	велюр	с ящиками, угловое	46810	s5_381
Мебель		Кресло				металл	подвесное	30400	s5_382
Мебель		Мини-батут		100 см	розовый		детский, домашний	7490	s5_383
Мебель		Стул			голубой		детский	1850	s5_384
Мебель		Подставка					для книг, настенная, в виде дерева	2700	s5_385
Мебель		Журнальный столик		80х50	дуб сонома			3450	s5_386
Мебель		Кровать		90х210	дуб сонома		высокого	9700	s5_387
Мебель		Изголовье		180 см	белое			11400	s5_388
Мебель		Тренажёр			чёрный		складной	12400	s5_389
Мебель		Стол			золото с белым		на колёсиках	7210	s5_390
Мебель		Стеллаж		80х30	чёрный с дубом	металл, дерево	лофт	7280	s5_391
Мебель		Балдахин			голубой		детскую	1850	s5_392
Мебель		Сушилка			хром	металл	для белья, раздвижной	2400	s5_393
Мебель		Прикроватная тумба			белый		USB-розеткой	3700	s5_394
Мебель		Кровать-домик		90х200	розовый		балдахином	16400	s5_395
Мебель		Бра			чёрный с медью			2900	s5_396
Мебель		Столик			белый с дубом		на колёсиках	5490	s5_397
Мебель		Кровать			синяя			3450	s5_398
Мебель		Прикроватный столик			светлое дерево		для пожилых, подъёмным механизмом	5440	s5_399
Мебель		Шкаф			серая	ткань	подвесной	1450	s5_400
Мебель		Ковёр		80х150	молочный			2100	s5_401
Мебель		Туалетный столик			дуб сонома		с откидным зеркалом, led-подсветкой	13700	s5_402
Мебель		Навес		3х4	тёмно-зелёный		для дачи	8700	s5_403
Мебель		Стол		160 см	белый		раскладной, трансформер	9300	s5_404
Мебель		Домик-палатка					в комплекте	4200	s5_405
Мебель		Гамак				ткань		4900	s5_406
Мебель		Кровать-чердак			графит		подростковый	27800	s5_407
Мебель		Стул			чёрная	ткань	на колёсиках, офисный	2900	s5_408
Мебель		Двухъярусная кровать			дуб сонома		для белья, трансформер	33400	s5_409
Мебель		Стол		220х100	мореный орех			38410	s5_410
Мебель		Спальный мешок			тёмно-зелёный			3400	s5_411
Мебель		Стул				металл	4 шт	3900	s5_412
Мебель		Корзина			натуральный	джут	для белья, высокий	2700	s5_413
Мебель		Комод		80х50	белый		для новорождённого	7900	s5_414
Мебель		Плед		150х200	горчичный	шерсть	крупная вязка	4460	s5_415
Мебель		Банкетка		100 см	оливковая		складной	5100	s5_416
Мебель		Скамья		120 см	серый	велюр		7460	s5_417
Мебель		Кроватка					для новорождённого, с маятником, ортопедическим	8400	s5_418
Мебель		Стенка		320 см	венге с молочным		семь секций	47810	s5_419
Мебель		Стол		200 см	дуб сонома		раздвижной	12400	s5_420
Мебель		Кровать-домик		80х160	серый			12800	s5_421
