Домен	Тип товара	Габариты	Цвет	Материал	Особенности	Цена (₽)	ID	Артикул
Мебель	Парта школьн	1200х500х760	чёрный	HPL	антиванд лам карк	6400	s2_74	 
Мебель	Тумба под	600х500х450	чёрный		сейф усиленный нагр 200кг	3800	s2_75	 
Мебель	Кресло посетит		коричневый; хром	хром; экокожа	на полозьях карк	3280	s2_76	 
Мебель	Раздевалка	1000х350х450			скамья с ящики под обувь	4400	s2_77	 
Мебель	Кушетка медицинский	1900х600х600	белый	экокожа	смотровой карк	10400	s2_78	 
Мебель	Стол офисный	1200х600х750	серый	ЛДСП	оператора	6300	s2_79	 
Мебель	Стойка-вешалка		чёрный	металл	напольн 5 крюч	980	s2_80	 
Мебель	Стол ученический	1200х500		ЛДСП	регулируемый 2-местный регулируемый	5700	s2_81	 
Мебель	Тумба	500х450х750	белый; серый	ЛДСП	сервисн 3 ящика	5400	s2_82	 
Мебель	Ресепшен-стойка	1800х1800х1100	дуб сонома	ЛДСП; дуб	угловой	38400	s2_83	 
Мебель	Перегор		матовый	алюминий	душевая раздвижн 1200х8х2000	21400	s2_84	 
Мебель	Кресло геймерский		чёрный; красный	экокожа	подлок регулируемый	13900	s2_85	 
Мебель	Стол письменный	1200х600х750	клён	ЛДСП		5300	s2_86	 
Мебель	Доска аудитор	3000х1000		алюминий	3-секционный зелён мел алюминиевая рамка	9400	s2_87	 
Мебель	Лавка	1300х450х450	чёрный		силовая горизонтальный кожзам	8700	s2_88	 
Мебель	Стол кухонный		белый	ЛДСП	раскладн круглый 900/1200	7800	s2_89	 
Мебель	Шкаф для одежды	1200х500х1850			офисный со штангой+полк	13800	s2_90	 
Мебель	Стеллаж	700х300х1500		металл	4 пол нагр 100кг/п	3950	s2_91	 
Мебель	Тумба прикроватная	4000х400х750	белый	металл	больничный	5700	s2_92	 
Мебель	Шкафчик	400х400х720	белый	ЛДСП	столовой	2400	s2_93	 
Мебель	Зона		серый; хром	хром; рогожка	ожидан диван 3-местный ножк	28700	s2_94	 
Мебель	Тумба выкатн	400х500х600	серый	ЛДСП	3 ящика	4100	s2_95	 
Мебель	Комод 5	800х450х1100	дуб сонома	ЛДСП; дуб	ящика	7400	s2_96	 
Мебель	Стул банкетный		бежевый; хром	металл; хром; ткань	штабел каркас крест	1380	s2_97	 
Мебель	Стол операторск	1400х700х750	серый	ЛДСП	с экраном	9200	s2_98	 
Мебель	Перегородка офисный	1400х30х400	чёрный	ткань	экран	2700	s2_99	 
Мебель	Стеновая	600х600	серый	ткань	панель акуст 38мм	1980	s2_100	 
Мебель	Кресло руководителя		чёрный	сетка	эрг подголовник подножк	19400	s2_101	 
Мебель	Кровать-чердак	900х2000	бук	ЛДСП; бук	односпальный	22500	s2_102	 
Мебель	Шкаф ЛОК	150х500х1850	серый	металл	5-секционный ключ	19800	s2_103	 
Мебель	Стол письменный	1400х700х750	дуб сонома	ЛДСП; дуб	с ящиками	9700	s2_104	 
Мебель	Тумба офисный	600х450х750	венге	ЛДСП	с дверный полки	5800	s2_105	 
Мебель	Шкаф	600х600х1200	серый		"сервер напольн 19"" 22U перфор дверный"	28400	s2_106	 
Мебель	Урна			металл	уличн 30л оцинк крышка с пепельн	3400	s2_107	 
Мебель	Стол комп	700х500	белый	ЛДСП	дет растущ х регулируемый	11800	s2_108	 
Мебель	Стол письменный	1200х600х750	бук	ЛДСП; бук		5290	s2_109	 
Мебель	Стол операторск	1600х1400х750	белый	ЛДСП	угловой экран	13700	s2_110	 
Мебель	Шкаф для документов	800х400х1150	серый		сред со створк	7800	s2_111	 
Мебель	Стул-табурет лабораторный		чёрный	винил	подножк регулируемый	3200	s2_112	 
Мебель	Шкаф ЛОК	1200х500х1850			с электрозамк RFID 4-секционный	42800	s2_113	 
Мебель	Шкаф инструмент	1200х500х1950		металл	усиленный ключ	26700	s2_114	 
Мебель	Раздевалка	900х500х1850		металл	шкаф ЛОК 3-секционный	14700	s2_115	 
Мебель	Перегор	400х40х900	бежевый	ЛДСП	писсуарн влагостойк	2700	s2_116	 
Мебель	Кронштейн	600х300		металл	под клавиатуру выдвижной	1380	s2_117	 
Мебель	Сейф оружейн	350х250х1500			трейзор 2 замка	9800	s2_118	 
Мебель	Стол лаб	1200х750х900	серый	ЛДСП	пристен ламель	12700	s2_119	 
Мебель	Стол кафе	800х750	белый	ЛДСП	круглый чугун опор	4200	s2_120	 
Мебель	Кресло посетит		серый; хром	хром; ткань	со стац базой	2650	s2_121	 
Мебель	Стол банкетный	1800х900х750	серый	пластик	складн HDPE сер	7400	s2_122	 
Мебель	Стол письменный	1400х700х1450	серый	ЛДСП	с надстр	11400	s2_123	 
Мебель	Табурет кухонный		дуб сонома	ЛДСП; дуб	450	680	s2_124	 
Мебель	Прихожая	1200х1000х2100	венге	ЛДСП	угловой компл	22400	s2_125	 
Мебель	Светильник потолочный				накладки круг 300мм 24Вт	780	s2_126	 
Мебель	Стеллаж паллетн	2700х1000х3500			нагр 600кг/п	21800	s2_127	 
Мебель	Стеновая	250х2700	белый; матовый	ПВХ	панель белая	380	s2_128	 
Мебель	Кресло руководителя		коричневый	кожа; дерево	премиум накладки	39800	s2_129	 
Мебель	Кресло акцент		серый	дерево; рогожка	дерев ножк	12700	s2_130	 
Мебель	Шкаф офисный	800х400х1850	дуб сонома	ЛДСП; дуб	открыт стелл	7600	s2_131	 
Мебель	Стеллаж нержав	1200х600х2000			SS304 5 пол пищ	48700	s2_132	 
Мебель	Шкаф	1200х500х1850	серый	металл	ЛОК 4-секционный ключ	13700	s2_133	 
Мебель	Кассов	800х450х900	белый	ЛДСП	тумба с замком ниш	11800	s2_134	 
Мебель	Светильник потолочный	1200х600			растр 56Вт	1980	s2_135	 
Мебель	Кушетка медицинский	1900х700х650	белый	экокожа	смотровой	11810	s2_136	 
Мебель	Кухонный модуль	600х300х720	дуб сонома	ЛДСП; дуб	офисный верхний	3700	s2_137	 
Мебель	Шкаф для одежды	600х500х1850	дуб сонома	ЛДСП; дуб	офисный зерк	10400	s2_138	 
Мебель	Шкаф	600х500х1850		металл	для одежды 2-секционный ключ	8400	s2_139	 
Мебель	Вытяжной	1500х750х2300			шкаф лаб фильтр угольн	54700	s2_140	 
Мебель	Шкаф-стеллаж	800х400х1950	серый		комби открыт +створк	10200	s2_141	 
Мебель	Витрина морозильн	1500х650х850			ларь стек крышка	48700	s2_142	 
Мебель	Шкаф ЛОК	1800х500х1850	серый	металл	6-секционный ключ	22400	s2_143	 
Мебель	Доска аудитор	2000х1200			интерактив наст проектор совмест	48700	s2_144	 
Мебель	Шкаф для одежды	800х500х1850	серый		офисный полузакрытый	10700	s2_145	 
Мебель	Шкаф лабораторный	600х500х1500		металл	сушильн	19400	s2_146	 
Мебель	Кухонный модуль	1000х500х820	венге	ЛДСП	офисный ниж	8400	s2_147	 
Мебель	Полка	800х300х500		металл	обувн 3 ярус	1180	s2_148	 
Мебель	Стеллаж для блинов	600х500х1500	чёрный	сталь	7-местный	10800	s2_149	 
Мебель	Шкаф медицинский	600х400х1850			для лекарств ключ кодов	15600	s2_150	 
Мебель	Табурет барный			дерево	лак 750	1850	s2_151	 
Мебель	Шкаф офисный	800х450х1850	дуб сонома	ЛДСП; дуб	2-дверный	11400	s2_152	 
Мебель	Стол-приставка	900х450х750	дуб сонома	ЛДСП; дуб	ради	3200	s2_153	 
Мебель	Шкаф для одежды				офисный полузакрытый со створк зерк	12700	s2_154	 
Мебель	Шкаф для одежды	600х500х1850	венге	ЛДСП	офисный штанга+полки	9400	s2_155	 
Мебель	Кронштейн				"ТВ наст накладки "" нагр 45кг"	1850	s2_156	 
Мебель	Стол письменный	1200х600х750		ЛДСП	вишня	5290	s2_157	 
Мебель	Шкаф документальный	400х400х1850	белый	ЛДСП	узк	6800	s2_158	 
Мебель	Лавка	1500х500х450	чёрный		силовая обратн накладки кожзам	13700	s2_159	 
Мебель	Перегор		прозрачный	стекло	душевая 1000х8х2000 алюм карк	17400	s2_160	 
Мебель	Ковёр	1600х2300	серый		синтет совр	4900	s2_161	 
Мебель	Зона	700х700х450	чёрный	металл	ожидан журн стол	3800	s2_162	 
Мебель	Шкаф-купе	2400х600х2200	дуб сонома	дуб	3-дверный зерк	43500	s2_163	 
Мебель	Кресло операторск		чёрный; серый	сетка	подлок регулируемый	7900	s2_164	 
Мебель	Кровать односпальный	900х2000	дуб сонома	ЛДСП; дуб		9850	s2_165	 
Мебель	Стул-табурет офисный		чёрный	пластик	регулируемый крестовина	1400	s2_166	 
Мебель	Барная	1800х1800х1100		ЛДСП	стойка-перегор угловой	24700	s2_167	 
Мебель	Стул офисный		серый; хром	хром; ткань	посетит	1450	s2_168	 
Мебель	Стеллаж	1400х500х1800		металл	5 пол 150кг/п оцинк	9700	s2_169	 
Мебель	Сейф огнестойкий	700х600х600			60мин ключ+код 95	36400	s2_170	 
Мебель	Кресло офисный		серый	ткань	оператора регул высоты	3700	s2_171	 
Мебель	Стол лабораторный	1400х750х900	серый	ЛДСП	компьют	9700	s2_172	 
Мебель	Подиум выставочный	1000х500х400	белый	ЛДСП	прямоуг	4400	s2_173	 
Мебель	Кресло посетит		чёрный; хром	хром; экокожа	со стац базой	2900	s2_174	 
Мебель	Стол операторск	1600х700х750	белый	ЛДСП	с тумбой 4 ящика	13400	s2_175	 
Мебель	Огражд выставочный		золото		Огражд выставочный стойка золото+лента 2м	1980	s2_176	 
Мебель	Кронштейн для ТВ				наст фикс нагр 25кг	680	s2_177	 
Мебель	Рабоч.станция	2800х1600х750	белый	ЛДСП	бенч 4-местный	42700	s2_178	 
Мебель	Стол антиванд	800х800х750		металл	шахм разметка	9700	s2_179	 
Мебель	Стол офисный	2000х900х750	орех		руководителя шпон с надстр	34500	s2_180	 
Мебель	Тумба операторск	400х500х600	серый		мобильный 3 ящика	4400	s2_181	 
Мебель	Стеллаж	1000х400х2000		металл	5 пол нагр 150кг/п	7250	s2_182	 
Мебель	Раковина	600х500х200			лаб SS наст со смесит	8400	s2_183	 
Мебель	Матрас	1600х2000			наматрасн водонепр	1850	s2_184	 
Мебель	Кресло конферен		коричневый	экокожа	на полозьях	3850	s2_185	 
Мебель	Стеллаж паллетн	2000х1000х3000			лёгк нагр 300кг/п	14800	s2_186	 
Мебель	Шкаф медицинский	600х400х1850	белый	металл	2-секционный ключ	12700	s2_187	 
Мебель	Стол письменный	1100х600		ЛДСП	трансформ растущ регулируемый	15700	s2_188	 
Мебель	Кронштейн для ТВ				потолочный поворот	3400	s2_189	 
Мебель	Кушетка офисный	1900х700	чёрный	экокожа		9800	s2_190	 
Мебель	Шкаф офисный	1200х450х1950	серый	ЛДСП	со створк 5 пол	16400	s2_191	 
Мебель	Картотека		серый	металл	10 ящика А6 ключевая	14700	s2_192	 
Мебель	Светильник аварийный				маяч наст 5Вт	980	s2_193	 
Мебель	Доска пробков	900х600		дерево	деревянная рамка	780	s2_194	 
Мебель	Стол-бенч	2800х1400х750	венге	ЛДСП	4-местный	46700	s2_195	 
Мебель	Кресло посетит		чёрный	металл; ткань	на полозьях каркас	2380	s2_196	 
Мебель	Стеллаж торгов	1000х400х2000	белый	ЛДСП	пристен 6 пол	9400	s2_197	 
Мебель	Шкафчик для столовой	600х300х450	белый		настенн	1980	s2_198	 
Мебель	Стол антиванд	1500х750х750		металл	уличн порош окраск	13400	s2_199	 
Мебель	Шкаф лаб	800х500х1600		металл	сушильн регул темп	24800	s2_200	 
Мебель	Шкаф для химикат	1200х500х2000			лаб 2-дверный вытяж	46800	s2_201	 
Мебель	Светильник встр				потолочный 12Вт круг 220мм	680	s2_202	 
Мебель	Вытяжной	1800х750х2300			шкаф лаб 2-створчатый фильтр	64800	s2_203	 
Мебель	Подиум выставочный	800х800х800	чёрный	ЛДСП	квадратный	5700	s2_204	 
Мебель	Верстак	1800х700х1900			монтажн с экран перфор крюч	28400	s2_205	 
Мебель	Шкаф школьн	1000х450х2000		ЛДСП	для пособий со створк	14400	s2_206	 
Мебель	Сейф огнестойкий	600х500х500			60мин эл замок	28400	s2_207	 
Мебель	Столик	600х600х450	белый	ЛДСП; металл	журн круглый	2400	s2_208	 
Мебель	Стол ресторан	1800х900х750	венге	ЛДСП	овальн	9400	s2_209	 
Мебель	Шкаф	600х800х2000	серый		"сервер 19"" 42U стек дверный"	64700	s2_210	 
Мебель	Тумба реактивн	600х450х850			лаб поддон ключ	13700	s2_211	 
Мебель	Шкаф для документов	800х400х1950	серый		высокий полузакрытый	10800	s2_212	 
Мебель	Шкаф офисный	1000х450х1850	венге	ЛДСП	со створк	12400	s2_213	 
Мебель	Верстак	1000х600х850		металл	мобильный колес с тормозн	13400	s2_214	 
Мебель	Стол лаб	900х600х750		ЛДСП	для микроскоп антивибр	14400	s2_215	 
Мебель	Барн.стойка	1800х1800х1100	венге	ЛДСП	модул угловой	24700	s2_216	 
Мебель	Стол гостевой	1100х500х750	дуб	ЛДСП; дуб	рабоч ящики	7400	s2_217	 
Мебель	Шкаф документальный	800х800х2000	дуб сонома	ЛДСП; дуб	карусел	26400	s2_218	 
Мебель	Стол лабораторный	1800х750х900	белый	ЛДСП	химостойк	16400	s2_219	 
Мебель	Столик	500х400х800			инструмент SS колес 2 полки	6400	s2_220	 
Мебель	Шкаф ЛОК	600х500х1850			Z-образн 2-секционный ключ	13700	s2_221	 
Мебель	Стол перегов	1200х750	венге	ЛДСП	круглый	7800	s2_222	 
Мебель	Стол лабораторный	1200х600х900	серый	ЛДСП	химостойк	11400	s2_223	 
Мебель	Шкаф гостевой	1200х600х2100	дуб	ЛДСП; дуб	распашной штанга	21400	s2_224	 
Мебель	Шкаф огнестойкий	500х450х650			компактный 30мин ключ	19800	s2_225	 
Мебель	Шкаф ЛОК	1200х500х1850			для персонал 4-секционный кодов замок	26400	s2_226	 
Мебель	Барная	1800х500х1150			стойка-перегор с надстр	19400	s2_227	 
Мебель	Верстак	1200х600х850		сталь	слесарн с тиск 2мм 1 ящики	14700	s2_228	 
Мебель	Шкаф для документов	800х400х1150	серый		сред открыт	5700	s2_229	 
Мебель	Лампа		белый		наст аккум сенсорн диммер белая	2400	s2_230	 
Мебель	Тумба прикроватная	400х400х750	серый	металл	больничный	5700	s2_231	 
Мебель	Тумба под	600х450х650	венге	ЛДСП	принтер 2-дверный	4400	s2_232	 
Мебель	Стол лабораторный	1200х750х900			титровальн ламель	15800	s2_233	 
Мебель	Тумба операторск	600х450х750	серый		стационарный с дверный	5400	s2_234	 
Мебель	Доска информ	900х600	серый	алюминий	ткан пробк алюминиевая рамка	1450	s2_235	 
Мебель	Банкетка	2000х400х450		металл; дерево	раздевалк усиленный сид	5400	s2_236	 
Мебель	Перегородка офисный	1200х40х1800		стекло	стационарный со	7400	s2_237	 
Мебель	Светильник линейн		белый		подвес 1200 40Вт	1700	s2_238	 
Мебель	Кронштейн				торгов перфор панель крюч 200мм 5шт компл	420	s2_239	 
Мебель	Шкаф для одежды	800х500х1950	белый	ЛДСП	офисный зерк внутр	13200	s2_240	 
Мебель	Табурет кухонный		белый	ЛДСП	450	640	s2_241	 
Мебель	Стол-приставка	900х500х750	белый	ЛДСП	дуга	3700	s2_242	 
Мебель	Столик	600х750	белый	ЛДСП	ресторан складн круглый	3400	s2_243	 
Мебель	Бенч-система	4800х1400х750	белый	ЛДСП	8-местный	82400	s2_244	 
Мебель	Стеллаж нержав	700х700х1800			SS304 угловой 4 пол	31400	s2_245	 
Мебель	Шкаф офисный	800х450х2050	венге	ЛДСП	2-дверный 5 полки	13700	s2_246	 
Мебель	Кронштейн для ТВ				наст наклон нагр 50кг	1700	s2_247	 
Мебель	Подставка для ног			пластик	эргон регулируемый наклон	780	s2_248	 
Мебель	Шкаф для документов	800х400х1150	белый		сред полузакрытый	6700	s2_249	 
Мебель	Витрина музейн	800х500х400		стекло	наст горизонтальный	14700	s2_250	 
Мебель	Кресло посетит		чёрный; хром	хром; экокожа	на полозьях штабел	1380	s2_251	 
Мебель	Скамья	1600х500х450		сталь	тренир регул накладки 3мм	13400	s2_252	 
Мебель	Стул		венге	дерево	кафе деревян с подлок лак	1980	s2_253	 
Мебель	Стол банкетный	1500х750х750	белый	пластик	складн HDPE	5400	s2_254	 
Мебель	Зеркало	600х1000	дуб	ЛДСП; дуб	гостиничн в рамке	2200	s2_255	 
Мебель	Шкаф инструмент	1000х500х1800		металл	с ящики ключ	21400	s2_256	 
Мебель	Доска информ	900х1200			ткан +магн комби	3100	s2_257	 
Мебель	Картотека			металл	4 ящика А4 ключ	9450	s2_258	 
Мебель	Кресло посетит		чёрный; хром	хром; экокожа	на полозьях	3450	s2_259	 
Мебель	Светильник потолочный	600х600			офисный 36Вт армстронг	1100	s2_260	 
Мебель	Кухонный модуль	600х500х1950			офисный высокий под духовку	14700	s2_261	 
Мебель	Тумба под	600х450х750	белый	ЛДСП	оргтехнику с дверный	4800	s2_262	 
Мебель	Стул		чёрный	металл	кафе ротанг искусств карк	2400	s2_263	 
Мебель	Стол кафе	700х700х750	венге	ЛДСП; металл	квадратный опора	3700	s2_264	 
Мебель	Шкафчик	800х300х450	белый	ЛДСП	столовой подвесн	2700	s2_265	 
Мебель	Стол письменный	1200х600х750	белый	ЛДСП		4990	s2_266	 
Мебель	Сушилка для одежды	1800х600х1700		металл	напольн складн	2700	s2_267	 
Мебель	Доска маркерн	1200х900			лак без рамки клипса	1850	s2_268	 
Мебель	Барная	1600х500х1100	венге	ЛДСП	стойка-перегор	14800	s2_269	 
Мебель	Пуф	400х450		дерево	круглый велюр горчичн дерев ножк	2100	s2_270	 
Мебель	Тумба под	500х450х650	белый	ЛДСП	принтер колес	3700	s2_271	 
Мебель	Шкаф медицинский	600х450х1850	белый		инструмент стек створк	16400	s2_272	 
Мебель	Тележка	800х500х1000			инструмент автосерв 8 ящики	32400	s2_273	 
Мебель	Тумба реактивн	800х450х850	серый		лаб 2-дверный поддон	17400	s2_274	 
Мебель	Стол письменный	1200х600х750	дуб	ЛДСП; дуб	светл	5290	s2_275	 
Мебель	Стол перегов	2400х1200х750	венге	ЛДСП		19600	s2_276	 
Мебель	Подставка под		чёрный	металл; сетка	книги	420	s2_277	 
Мебель	Стол манипуляц	800х500х850		металл	2 полки колес	11400	s2_278	 
Мебель	Подиум выставочный	400х400х400	чёрный	ЛДСП	квадратный	2700	s2_279	 
Мебель	Комод 4	1000х450х900	венге	ЛДСП	ящика	6900	s2_280	 
Мебель	Верстак	1500х1500х850		металл	угловой 3 ящики+перфор экран	24800	s2_281	 
Мебель	Раздевалка	1200х200		металл	вешалка наст 8 крюч	1980	s2_282	 
Мебель	Стол ресторан		венге	ЛДСП; металл	квадратный 700х7х750 опора	4100	s2_283	 
Мебель	Витрина музейн	800х400х2000			пристен ключ	38400	s2_284	 
Мебель	Карниз		белый	пластик	потолочный 2-рядный 2000	480	s2_285	 
Мебель	Кресло руководителя		коричневый; хром	хром; кожа	высок спинка	17500	s2_286	 
Мебель	Стеллаж	800х400х1600		металл	сборн 4 пол нагр 120кг/п	4500	s2_287	 
Мебель	Тумба операторск	400х500х750	серый		стационарный 3 ящика	4900	s2_288	 
Мебель	Скамья	1800х1500х750		дерево	парков со столиком пикн	14700	s2_289	 
Мебель	Парта школьн	600х500		ЛДСП	регулируемый 1-местный регулируемый	5100	s2_290	 
Мебель	Тумба ТВ	1600х400х500	дуб сонома	ЛДСП; дуб	2-дверный	9800	s2_291	 
Мебель	Шкаф огнестойкий	1000х500х1950			документальный 90мин код	84700	s2_292	 
Мебель	Банкетка	900х400х450	венге	ЛДСП; экокожа	прихож сид	3800	s2_293	 
Мебель	Тумба операторск	400х500х600	серый		мобильный с пеналом	5400	s2_294	 
Мебель	Светильник аварийный				6Вт указ выхода 3ч	1380	s2_295	 
Мебель	Кушетка медицинский	1800х600х600	белый	экокожа	смотровой карк	9700	s2_296	 
Мебель	Верстак	1500х700х850		сталь; металл	слесарн 2мм 1 ящики	14700	s2_297	 
Мебель	Стол банкетный	1800х750х750	белый	пластик	складн HDPE	6400	s2_298	 
Мебель	Стол лабораторный	1500х750х900	белый	ЛДСП	химостойк	13705	s2_299	 
Мебель	Стеллаж	1500х500х2500		металл	сборн 6 пол нагр 300кг	15800	s2_300	 
Мебель	Тумба операторск	400х500х600	чёрный		мобильный 3 ящика	4600	s2_301	 
Мебель	Лампа		белый		наст дневн свет белая на струбц	1850	s2_302	 
Мебель	Верстак	1800х750х900		сталь	слесарн с тиск 2мм 3 ящики	21400	s2_303	 
Мебель	Стенд для гантелей	1200х200х500		сталь	наст крюч	6400	s2_304	 
Мебель	Стол ресторан	700х700х750	венге	ЛДСП; металл	опора	4100	s2_305	 
Мебель	Стол кухонный	1200х750х750	дуб сонома	ЛДСП; дуб	обед	5300	s2_306	 
Мебель	Перегородка офисный	1600х40х1500		ткань	мобильный экран	9400	s2_307	 
Мебель	Шкаф	800х450х1950	серый	металл	бухгалт 2-дверный ключ	15400	s2_308	 
Мебель	Доска флипчарт	700х1000			магн на колёсах роликовая	3900	s2_309	 
Мебель	Перегор	1500х40х2000	серый	HPL	санитарн	13700	s2_310	 
Мебель	Стеллаж-кронштейн для инструм	800х250			крюч +полки	2900	s2_311	 
Мебель	Шкаф для инструмента	800х500х2000		металл	антивандальн 3мм	31400	s2_312	 
